SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2020,1610612747,LAL,Los Angeles Lakers,22000087,2021-01-03,LAL @ MEM,W,32,22,9,16,0.563,3,6,0.5,1,3,0.333,0,13,13,8,1,0,2,2,3.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000075,2021-01-01,LAL @ SAS,W,36,26,8,22,0.364,3,7,0.429,7,7,1.0,1,10,11,10,2,0,4,0,3.6,False
2020,1610612747,LAL,Los Angeles Lakers,22000060,2020-12-30,LAL @ SAS,W,35,26,11,23,0.478,1,3,0.333,3,5,0.6,0,5,5,8,1,1,2,1,-0.2,False
2020,1610612747,LAL,Los Angeles Lakers,22000045,2020-12-28,LAL vs. POR,L,36,29,11,20,0.55,3,7,0.429,4,5,0.8,2,7,9,6,2,1,3,2,0.0,True
2020,1610612747,LAL,Los Angeles Lakers,22000040,2020-12-27,LAL vs. MIN,W,26,18,6,13,0.462,1,5,0.2,5,7,0.714,0,9,9,5,1,0,4,1,3.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000008,2020-12-25,LAL vs. DAL,W,31,22,8,18,0.444,3,8,0.375,3,4,0.75,1,6,7,10,1,0,4,0,3.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000002,2020-12-22,LAL vs. LAC,L,28,22,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,0.4,True
2019,1610612747,LAL,Los Angeles Lakers,21901310,2020-08-13,LAL vs. SAC,L,15,17,6,13,0.462,2,5,0.4,3,3,1.0,1,2,3,4,0,0,3,0,-2.6,True
2019,1610612747,LAL,Los Angeles Lakers,21901296,2020-08-10,LAL vs. DEN,W,38,29,9,21,0.429,5,11,0.455,6,10,0.6,0,1,1,12,0,2,5,0,-2.0,True
2019,1610612747,LAL,Los Angeles Lakers,21901282,2020-08-08,LAL @ IND,L,35,31,13,24,0.542,2,6,0.333,3,6,0.5,1,7,8,7,0,1,1,4,2.8,False
2019,1610612747,LAL,Los Angeles Lakers,21901265,2020-08-05,LAL vs. OKC,L,30,19,7,19,0.368,0,5,0.0,5,8,0.625,1,10,11,4,1,0,0,1,-1.6,True
2019,1610612747,LAL,Los Angeles Lakers,21901255,2020-08-03,LAL @ UTA,W,35,22,9,16,0.563,2,5,0.4,2,2,1.0,1,7,8,9,2,1,4,3,0.0,False
2019,1610612747,LAL,Los Angeles Lakers,21901243,2020-08-01,LAL @ TOR,L,35,20,7,15,0.467,2,5,0.4,4,7,0.571,1,9,10,5,0,1,4,1,-4.0,False
2019,1610612747,LAL,Los Angeles Lakers,21901232,2020-07-30,LAL vs. LAC,W,34,16,6,19,0.316,2,7,0.286,2,2,1.0,2,9,11,7,1,1,5,3,-0.8,True
2019,1610612747,LAL,Los Angeles Lakers,21900968,2020-03-10,LAL vs. BKN,L,35,29,12,22,0.545,4,9,0.444,1,5,0.2,1,11,12,9,1,0,3,1,1.6,True
2019,1610612747,LAL,Los Angeles Lakers,21900948,2020-03-08,LAL @ LAC,W,35,28,7,17,0.412,2,6,0.333,12,14,0.857,2,6,8,9,0,2,2,3,1.4,False
2019,1610612747,LAL,Los Angeles Lakers,21900939,2020-03-06,LAL vs. MIL,W,37,37,12,21,0.571,1,7,0.143,12,15,0.8,0,8,8,8,3,0,4,4,1.6,True
2019,1610612747,LAL,Los Angeles Lakers,21900915,2020-03-03,LAL vs. PHI,W,34,22,9,16,0.563,2,5,0.4,2,3,0.667,1,6,7,14,1,2,3,1,-0.4,True
2019,1610612747,LAL,Los Angeles Lakers,21900900,2020-03-01,LAL @ NOP,W,36,34,14,21,0.667,3,5,0.6,3,3,1.0,0,12,12,13,2,0,6,2,4.4,False
2019,1610612747,LAL,Los Angeles Lakers,21900891,2020-02-29,LAL @ MEM,L,34,19,8,18,0.444,2,8,0.25,1,2,0.5,2,6,8,10,1,1,5,1,-2.4,False
2019,1610612747,LAL,Los Angeles Lakers,21900861,2020-02-25,LAL vs. NOP,W,34,40,17,27,0.63,5,11,0.455,1,2,0.5,2,6,8,6,0,1,7,1,2.4,True
2019,1610612747,LAL,Los Angeles Lakers,21900842,2020-02-23,LAL vs. BOS,W,35,29,9,19,0.474,4,10,0.4,7,12,0.583,0,8,8,9,0,0,2,4,-0.2,True
2019,1610612747,LAL,Los Angeles Lakers,21900833,2020-02-21,LAL vs. MEM,W,36,32,10,17,0.588,1,4,0.25,11,12,0.917,0,3,3,7,0,2,1,0,1.2,True
2019,1610612747,LAL,Los Angeles Lakers,21900817,2020-02-12,LAL @ DEN,W,42,32,15,29,0.517,1,7,0.143,1,4,0.25,1,11,12,14,0,0,3,3,0.8,False
2019,1610612747,LAL,Los Angeles Lakers,21900801,2020-02-10,LAL vs. PHX,W,30,17,6,16,0.375,3,6,0.5,2,4,0.5,0,8,8,9,1,0,8,2,3.2,True
2019,1610612747,LAL,Los Angeles Lakers,21900783,2020-02-08,LAL @ GSW,W,34,22,7,17,0.412,3,8,0.375,5,6,0.833,0,8,8,11,1,0,7,2,1.2,False
2019,1610612747,LAL,Los Angeles Lakers,21900768,2020-02-06,LAL vs. HOU,L,37,18,8,19,0.421,1,8,0.125,1,1,1.0,2,7,9,15,2,0,6,0,-0.8,True
2019,1610612747,LAL,Los Angeles Lakers,21900754,2020-02-04,LAL vs. SAS,W,34,36,12,20,0.6,6,9,0.667,6,9,0.667,1,6,7,9,1,0,2,1,4.0,True
2019,1610612747,LAL,Los Angeles Lakers,21900736,2020-02-01,LAL @ SAC,W,34,15,6,15,0.4,1,4,0.25,2,3,0.667,0,10,10,11,2,0,2,3,6.6,False
2019,1610612747,LAL,Los Angeles Lakers,21900726,2020-01-31,LAL vs. POR,L,38,22,9,22,0.409,3,8,0.375,1,4,0.25,2,6,8,10,0,1,5,2,1.4,True
2019,1610612747,LAL,Los Angeles Lakers,21900684,2020-01-25,LAL @ PHI,L,35,29,9,18,0.5,1,6,0.167,10,13,0.769,0,7,7,8,1,0,8,3,-4.4,False
2019,1610612747,LAL,Los Angeles Lakers,21900667,2020-01-23,LAL @ BKN,W,34,27,11,19,0.579,3,6,0.5,2,2,1.0,2,9,11,10,1,1,5,0,5.2,False
2019,1610612747,LAL,Los Angeles Lakers,21900659,2020-01-22,LAL @ NYK,W,36,21,9,16,0.563,2,5,0.4,1,3,0.333,0,6,6,5,5,0,4,0,2.6,False
2019,1610612747,LAL,Los Angeles Lakers,21900648,2020-01-20,LAL @ BOS,L,29,15,5,12,0.417,0,2,0.0,5,5,1.0,3,4,7,13,0,0,4,1,-4.2,False
